deviceCategory,unifiedPagePathScreen,unifiedScreenName,screenPageViews
desktop,/home,보리보리,2048
desktop,/mypage,보리보리,464
desktop,/search/menu,보리보리,446
desktop,/plan/271144,기획전,401
desktop,/order/result,보리보리,398
desktop,/cart,보리보리,392
desktop,/member/login,보리보리,378
desktop,/order/main,보리보리,353
desktop,/plan/271144,보리보리,216
desktop,/plan/272266,기획전,212
desktop,/plan/267054,보리보리,199
desktop,/mypage/order/list,보리보리,186
desktop,/home/best/product,보리보리,170
desktop,/product/405657286,보리보리,125
desktop,/member/success,보리보리,122
desktop,/plan/207025,기획전,103
desktop,/home/hotdeal,보리보리,90
desktop,/product/404910034,보리보리,90
desktop,/plan/271675,기획전,86
desktop,/plan/274642,기획전,79
desktop,/mypage/order/list/,보리보리,76
desktop,/categories,보리보리,73
desktop,/plan/28396,기획전,70
desktop,/deal/357832398,보리보리,69
desktop,/mypage/order/orderlist,보리보리,67
desktop,/home,9월 보리위크 애프터 세일🍂 MAX 89% OFF,66
desktop,/home/exclusive,보리보리 보리에디션,62
desktop,/order/main,토스페이 결제 시 2% 즉시할인,61
desktop,/mypage/coupon,쿠폰,55
desktop,/mypage/order/detail,주문/배송조회,54
desktop,/search/menu,9월 보리위크 애프터 세일🍂 MAX 89% OFF,54
desktop,/mypage/latest-views,보리보리,52
desktop,/home,상품상세,51
desktop,/plan/272507,기획전,50
desktop,/product/403821349,상품상세,50
desktop,/mypage,주문/배송조회,48
desktop,/item/34418,보리보리,47
desktop,/plan/85354,기획전,47
desktop,/product/404910154,보리보리,47
desktop,/product/403821349,보리보리,44
desktop,/item/34506,보리보리,42
desktop,/product/405232197,보리보리,42
desktop,/product/405663974,보리보리,40
desktop,/plan/46944,기획전,39
desktop,/member/find/id,보리보리,36
desktop,/mypage/info/verify,보리보리,36
desktop,/product/405665329,보리보리,36
desktop,/mypage,9월 보리위크 애프터 세일🍂 MAX 89% OFF,34
desktop,/plan/179509,기획전,34
desktop,/plan/81889,기획전,34
desktop,/product/405657286,MICROSOFT 윈도우 11 Home 처음사용자용 한글,33
desktop,/plan/271243,기획전,32
desktop,/member/find/password,보리보리,31
desktop,/item/34686,보리보리,30
desktop,/plan/268077,기획전,30
desktop,/plan/215110,기획전,29
desktop,/plan/3613,기획전,29
desktop,/product/405657394,보리보리,29
desktop,/member/change-password,보리보리,28
desktop,/plan/198577,보리보리,28
desktop,/plan/227815,보리보리,28
desktop,/product/404808530,상품상세,28
desktop,/cart,9월 보리위크 애프터 세일🍂 MAX 89% OFF,27
desktop,/deal/326270328,보리보리,27
desktop,/deal/392189156,보리보리,27
desktop,/home/designer,보리보리,27
desktop,/item/34416,보리보리,27
desktop,/home,[무스텔라_] UP to 43% 할인 + 역대급 할인쿠폰,26
desktop,/mypage,회원정보관리,25
desktop,/mypage/order/list,주문상세,25
desktop,/product/338754494,보리보리,25
desktop,/deal/385078844,보리보리,24
desktop,/mypage/info/edit,보리보리,24
desktop,/plan/270286,기획전,24
desktop,/plan/273256,기획전,24
desktop,/product/404910154,상품상세,24
desktop,/home/exclusive,보리보리,23
desktop,/item/34526,보리보리,23
desktop,/plan/124758,기획전,23
desktop,/plan/271573,기획전,23
desktop,/deal/379027017,보리보리,22
desktop,/home/topclass,보리보리 네파키즈,22
desktop,/item/34415,보리보리,22
desktop,/item/34766,보리보리,22
desktop,/plan/269923,기획전,22
desktop,/store/outlet,보리보리,22
desktop,/deal/404721014/404808530,[몰리멜리] 가을상하 몽땅 10900원 /실내복/여아상하/맨투맨상하,21
desktop,/product/405177563,상품상세,21
desktop,/product/405187099,상품상세,21
desktop,/deal/342538147,보리보리,20
desktop,/plan/272266,보리보리,20
desktop,/product/405663974,상품상세,20
desktop,/deal/312316091,딜 상세,19
desktop,/deal/404803870,보리보리,19
desktop,/home,보리보리 상하복,19
desktop,/home/plus,보리보리,19
desktop,/member/login,9월 출석체크 이벤트,19
desktop,/member/login,주문/배송조회,19
desktop,/order/main,[즉시전송] 윈도우10 윈도우11 영구한글판 정품키(USB별도판매) 제품키,19
desktop,/plan/17974,기획전,19
desktop,/plan/198577,기획전,19
desktop,/plan/234349,기획전,19
desktop,/plan/265205,보리보리,19
desktop,/plan/268837,기획전,19
desktop,/product/401749014,상품상세,19
desktop,/product/404910163,상품상세,19
desktop,/deal/404223463,보리보리,18
desktop,/item/34728,보리보리,18
desktop,/mypage,최근 본 상품,18
desktop,/mypage/info/main,보리보리,18
desktop,/product/362750856,보리보리,18
desktop,/categories,9월 보리위크 애프터 세일🍂 MAX 89% OFF,17
desktop,/home,9월 출석체크 이벤트,17
desktop,/item/34484,보리보리,17
desktop,/mypage/order/cancel,주문/배송조회,17
desktop,/plan/73310,기획전,17
desktop,/product/394138429,보리보리,17
desktop,/product/404907076,보리보리,17
