deviceCategory,unifiedPagePathScreen,unifiedScreenName,screenPageViews
tablet,/mypage,보리보리,56
tablet,/home,보리보리,40
tablet,/member/login,보리보리,34
tablet,/plan/227815,기획전,29
tablet,/plan/267054,기획전,26
tablet,/plan/267317,기획전,24
tablet,/plan/272266,기획전,23
tablet,ListFragment,홈,22
tablet,/order/result,보리보리,20
tablet,/cart,보리보리,18
tablet,/mypage,100% 당첨! 꽝 없는 보리복권,15
tablet,/mypage/order/list,보리보리,15
tablet,BestFragment,베스트,14
tablet,/order/main,보리보리,13
tablet,Boribori_iOS.HomeBodyViewController,메인화면,13
tablet,/plan/267054,보리보리,12
tablet,/mypage,주문/배송조회,10
tablet,/deal/304991151,보리보리,9
tablet,/mypage,9월 출석체크 이벤트,9
tablet,/product/346419321,상품상세,9
tablet,/plan/215110,기획전,8
tablet,/home,"컬리수/모이몰른 外 패밀리데이, MAX 25%쿠폰",7
tablet,/mypage/latest-views,보리보리,7
tablet,/product/334553297,상품상세,7
tablet,Boribori_iOS.BestViewController,베스트,7
tablet,Boribori_iOS.EventViewController,이벤트,7
tablet,LnbEventFragment,이벤트,7
tablet,/deal/304991151,딜 상세,6
tablet,/member,보리보리,6
tablet,/plan/236070,기획전,6
tablet,/product/357820777,보리보리,6
tablet,/brand/BL348815,보리보리,5
tablet,/mypage,[DAKS 프리미엄] 추석 STYLE GUIDE,5
tablet,/mypage,회원등급 혜택,5
tablet,/mypage/order/list/,보리보리,5
tablet,/plan/3740,기획전,5
tablet,/plan/7524,기획전,5
tablet,/product/302653276,보리보리,5
tablet,/product/376189342,상품상세,5
tablet,/customer/qna/list/,보리보리,4
tablet,/deal/357832398,보리보리,4
tablet,/item/34416,보리보리,4
tablet,/mypage,"컬리수/모이몰른 外 패밀리데이, MAX 25%쿠폰",4
tablet,/mypage,회원정보관리,4
tablet,/mypage/benefit,보리보리,4
tablet,/mypage/info/verify,보리보리,4
tablet,/mypage/order/returnExchange/,보리보리,4
tablet,/plan/227815,보리보리,4
tablet,/plan/267054,100% 당첨! 꽝 없는 보리복권,4
tablet,/plan/267317,100% 당첨! 꽝 없는 보리복권,4
tablet,/plan/272266,보리보리,4
tablet,/product/386763467,[아콤어] 루즈핏7부티셔츠 C243TS350P,4
tablet,/product/386763467,상품상세,4
tablet,/product/403821349,상품상세,4
tablet,/product/405424758,[조던 키즈] MVP조던브레이크아웃긴팔티셔츠 (주니어),4
tablet,/product/405657394,보리보리,4
tablet,/product/405663974,[즉시전송] 오피스2021 2019 2016 영구한글판 정품키+설치링크 제품키,4
tablet,/product/405663974,보리보리,4
tablet,/product/405663974,상품상세,4
tablet,/search/menu,보리보리,4
tablet,/brand/BL202482,[월튼키즈X마리엔모리]가을 긴팔 상하복/맨투맨/가디건 전복종 초특가,3
tablet,/brand/BL202563,보리보리,3
tablet,/brand/BL349973,틴플로우프린팅셔츠[셔츠TELT19],3
tablet,/cart,[보리에디션] [155사이즈특가] [게스키즈] 보아 플리스 후드 집업_연핑크,3
tablet,/cart,[에뜨와 겨울신상]아폴로후드상하(YELLOW)_07P75305487,3
tablet,/cart,삐삐네옷가게 여아 주니어 롤업마미 데님 봄 가을 배기핏 청바지 단품,3
tablet,/cart,삐삐네옷가게 여아 주니어 크롭 봄 가을 트레이닝 초등학생 상하,3
tablet,/categories,보리보리,3
tablet,/categories,"컬리수/모이몰른 外 패밀리데이, MAX 25%쿠폰",3
tablet,/deal/312316091,딜 상세,3
tablet,/deal/403585919,딜 상세,3
tablet,/home,[즉시전송] 오피스2021 2019 2016 영구한글판 정품키+설치링크 제품키,3
tablet,/item/34415,보리보리,3
tablet,/item/34506,보리보리,3
tablet,/item/34728,보리보리 티셔츠,3
tablet,/member/find/id,보리보리,3
tablet,/member/login,주문/배송조회,3
tablet,/mypage,[레노마키즈/페리미츠] 25' 가을 신상 & 단독 아울렛 인기템 BIG SALE,3
tablet,/mypage/order/orderlist,보리보리,3
tablet,/product/337360603,보리보리,3
tablet,/product/341928092,상품상세,3
tablet,/product/345118872,[조던 키즈] 조던풀오버맨투맨 (토들러),3
tablet,/product/350530291,상품상세,3
tablet,/product/356263737,보리보리,3
tablet,/product/359390303,상품상세,3
tablet,/product/367524796,[소이] 남자 가을이월 레글런맨투맨티(24F0404),3
tablet,/product/368922254,보리보리,3
tablet,/product/400589824,TC)GE솔레이패딩점퍼,3
tablet,/product/401749014,상품상세,3
tablet,/product/403791124,상품상세,3
tablet,/product/403791133,상품상세,3
tablet,/product/403791133,원바이브레이어드후드[티셔츠TELT995],3
tablet,/product/403791275,상품상세,3
tablet,/product/404808530,상품상세,3
tablet,/product/405068757,상품상세,3
tablet,/product/405155658,상품상세,3
tablet,/search/가을옷 주니어 여아,보리보리,3
tablet,/search/데이니브,보리보리,3
tablet,ListFragment,모이몰른/컬리수,3
tablet,/brand/BL200406,보리보리,2
tablet,/brand/BL200619,[조던 키즈] 조던 하프집업 아노락 윈드러너 (토들러),2
tablet,/brand/BL201339,[보누맘]댕댕이 7부 인견 쟈가드 상하세트,2
tablet,/brand/BL202563,더데이걸즈 트렌디 면바지TGTA24801,2
tablet,/brand/BL328860,B4362_비트윈셔츠,2
tablet,/brand/BL336013,A절개데님팬츠 남아청바지 초등 데님팬츠 공용데님 배기팬츠 봄가을 주니어,2
tablet,/brand/BL337817,삐삐네옷가게 여아 주니어 롤업마미 데님 봄 가을 배기핏 청바지 단품,2
tablet,/brand/BL337817,삐삐네옷가게 여아 주니어 크롭 봄 가을 트레이닝 초등학생 상하,2
tablet,/brand/BL349973,레전더리포켓맨투맨[티셔츠TELT977],2
tablet,/brand/BL349973,원바이브레이어드후드[티셔츠TELT995],2
tablet,/cart,A절개데님팬츠 남아청바지 초등 데님팬츠 공용데님 배기팬츠 봄가을 주니어,2
tablet,/cart,TC)GG라벨르카라상하,2
tablet,/cart,[DAKS 프리미엄] 추석 STYLE GUIDE,2
tablet,/cart,[베베쥬] 투데이픽티셔츠,2
tablet,/cart,[즉시전송] 오피스2021 2019 2016 영구한글판 정품키+설치링크 제품키,2
tablet,/cart,[컬리수] 데이캐쥬얼 체크셔츠,2
tablet,/cart,[컬리수] 매직7부 배색티셔츠,2
tablet,/cart,[컬리수] 체커보드베스트,2
tablet,/cart,[콩알키즈] 가을 신상OPEN 득템찬스 여름 시즌오프 최종가 가을 신상UP 306종,2
tablet,/cart,[호아따따] 25FW 신상 보리단독 선발매 🌳🐦,2
tablet,/cart,보리보리 팬츠 긴바지,2
tablet,/cart,삐삐네옷가게,2
tablet,/deal/301746221,[타티네쇼콜라] 비노출 특가 상품 & 25F/W신상 OPEN UP TO 80% OFF,2
tablet,/deal/301746221,딜 상세,2
tablet,/deal/312316091,[컬리수] FW 바람막이ㅣ가디건ㅣ원피스ㅣ상하의 外 최대 ~62% OFF,2
tablet,/deal/312316091,보리보리,2
tablet,/deal/319064014,보리보리,2
tablet,/deal/333612706,보리보리,2
tablet,/deal/337062604,딜 상세,2
tablet,/deal/357832398,[로토토베베] 25Fall 가을신상 오픈,2
tablet,/deal/369407718,[베베드피노] 25 가을 신상 메인 3차 오픈 /상하복&티셔츠&팬츠&가디건&자켓,2
tablet,/deal/389618390,[모이몰른] 메그멜로디화 M233SZI04P,2
tablet,/deal/393850305,딜 상세,2
tablet,/deal/403170785,[보리에디션] 블루독베이비 FW 프리뷰 파스텔 색감 바디수트 자켓,2
tablet,/deal/403585919,[베베쥬] 드롭워싱팬츠,2
tablet,/deal/403585919,[베베쥬] 캠퍼스와플상하복,2
tablet,/deal/403585919/403473228,[베베쥬] [10%쿠폰] 가을 새학기 등원룩 /티셔츠/상하복/맨투맨/팬츠/원피스/자켓,2
tablet,/home,9월 출석체크 이벤트,2
tablet,/home,[모이몰른] FW 가을오픈 실내 상하 우주복 바디수트 ~81% OFF,2
tablet,/home,보리보리 모이몰른/컬리수,2
tablet,/home/best/product,보리보리,2
tablet,/home/exclusive,보리보리,2
tablet,/item/34421,걸청상하복,2
tablet,/item/34526,버블트리 [G046]윈드청자켓,2
tablet,/item/34526,버블트리 [J096]블랙페커점퍼,2
tablet,/item/34526,보리보리,2
tablet,/member/login,9월 출석체크 이벤트,2
tablet,/member/success,보리보리,2
tablet,/mypage,[예가한복] WN7041 새봄나래 여아한복/아동한복,2
tablet,/mypage,보리보리 상하복,2
tablet,/mypage,쿠폰,2
tablet,/mypage,해지치마바지상하복 _S,2
tablet,/mypage/coupon,쿠폰,2
tablet,/mypage/order/list,[꼼지] 베이비양말 특가+무료배송 가을신상 양말세트 신생아 아기 유아 양말,2
tablet,/mypage/order/list,[예가한복] WN7041 새봄나래 여아한복/아동한복,2
tablet,/mypage/order/list/,걸청상하복,2
tablet,/order/main,[즉시전송] 오피스2021 2019 2016 영구한글판 정품키+설치링크 제품키,2
tablet,/plan/179509,기획전,2
tablet,/plan/227815,[컬리수] 파이핑 에슬레저팬츠(슬림핏) C211PTG81P,2
tablet,/plan/227815,[컬리수] 후드 웨더코트,2
tablet,/plan/227815,"컬리수/모이몰른 外 패밀리데이, MAX 25%쿠폰",2
tablet,/plan/267054,9월 출석체크 이벤트,2
tablet,/plan/267317,9월 출석체크 이벤트,2
tablet,/plan/81889,[~80%/1만원대 내의] 프랑스 프리미엄 타티네쇼콜라 가을 인기 상품 비밀 특가전,2
tablet,/product/300605481,상품상세,2
tablet,/product/320226187,상품상세,2
tablet,/product/333199922,상품상세,2
tablet,/product/334553297,삐삐네옷가게 여아 주니어 크롭 봄 가을 트레이닝 초등학생 상하,2
tablet,/product/340678151,상품상세,2
tablet,/product/340801800,상품상세,2
tablet,/product/343644069,아가방 에뜨와 해운대엔씨 가을 봄 입기 좋은 한복 느낌이 물씬나는 럭스 바디슈트 01P52 7903,2
tablet,/product/345118875,상품상세,2
tablet,/product/346166537,[꼼지] 베이비양말 특가+무료배송 가을신상 양말세트 신생아 아기 유아 양말,2
tablet,/product/346514049,상품상세,2
tablet,/product/353339398,상품상세,2
tablet,/product/353555584,상품상세,2
tablet,/product/354260421,[나이키 키즈] 나이키E1D1하프집업세트(토들러),2
tablet,/product/357820759,상품상세,2
tablet,/product/360622896,보리보리,2
tablet,/product/361252989,보리보리,2
tablet,/product/364244117,상품상세,2
tablet,/product/365138684,보리보리,2
tablet,/product/367536733,상품상세,2
tablet,/product/368823658,걸청상하복,2
tablet,/product/368823658,상품상세,2
tablet,/product/370540395,버블트리 [J096]블랙페커점퍼,2
tablet,/product/375549996,[보누맘]댕댕이 7부 인견 쟈가드 상하세트,2
tablet,/product/375549996,상품상세,2
